;year;countryName;regionName;HEMOGLOBINLEVEL_PREGNANT_MEAN;HEMOGLOBINLEVEL_NONPREGNANT_ME;AIR_11;WSH_10
22;2019;India;South-East Asia;109.0;117.0;3245048.1729399995;2
111;2019;Haiti;Americas;110.0;119.0;53293.41709;2
117;2019;Kiribati;Western Pacific;113.0;125.0;623.81275;2
123;2019;Papua New Guinea;Western Pacific;112.0;125.0;29180.89086;2
129;2019;Solomon Islands;Western Pacific;110.0;123.0;3318.71845;2
133;2019;Vanuatu;Western Pacific;118.0;127.0;1432.0013599999997;2
136;2019;Kenya;Africa;113.0;128.0;89130.35784000001;2
137;2019;Liberia;Africa;110.0;122.0;11760.90302;2
139;2019;Madagascar;Africa;114.0;123.0;85380.57293000001;2
142;2019;Mauritania;Africa;110.0;121.0;7583.03136;2
143;2019;Malawi;Africa;114.0;126.0;35289.65958;2
144;2019;Namibia;Africa;117.0;129.0;5736.961979999999;2
154;2019;Congo;Africa;109.0;120.0;11158.15837;2
159;2019;Ethiopia;Africa;117.0;129.0;252107.64107;2
161;2019;Rwanda;Africa;119.0;132.0;27729.47661;2
162;2019;Senegal;Africa;107.0;118.0;30539.39488;2
168;2019;Eswatini;Africa;116.0;126.0;3147.18756;2
170;2019;Gambia;Africa;107.0;119.0;5848.80475;2
174;2019;Equatorial Guinea;Africa;110.0;121.0;3037.8775900000005;2
176;2019;Togo;Africa;108.0;121.0;24347.45965;2
177;2019;United Republic of Tanzania;Africa;110.0;123.0;101293.08829000001;2
178;2019;Uganda;Africa;114.0;126.0;74596.14086;2
180;2019;Zambia;Africa;114.0;126.0;37993.52019;2
181;2019;Zimbabwe;Africa;116.0;127.0;38952.839719999996;2
141;2019;Mozambique;Africa;110.0;120.0;105806.59982;3
147;2019;Benin;Africa;105.0;117.0;38593.87229;3
148;2019;Burkina Faso;Africa;107.0;118.0;53164.641229999994;3
151;2019;Côte d'Ivoire;Africa;107.0;118.0;64840.02105000001;3
152;2019;Cameroon;Africa;112.0;122.0;67874.92455999998;3
153;2019;Democratic Republic of the Congo;Africa;111.0;122.0;287940.24202999996;3
155;2019;Comoros;Africa;114.0;125.0;2305.91828;3
158;2019;Eritrea;Africa;113.0;124.0;15064.188650000002;3
169;2019;Guinea;Africa;108.0;120.0;45324.89787;3
172;2019;Burundi;Africa;111.0;123.0;30503.711079999997;3
173;2019;Guinea-Bissau;Africa;108.0;120.0;5699.39049;3
182;2019;Angola;Africa;110.0;121.0;55043.39659;3
140;2019;Mali;Africa;105.0;115.0;47437.0125;4
145;2019;Niger;Africa;107.0;119.0;65756.96119;4
146;2019;Nigeria;Africa;107.0;117.0;529974.62972;4
163;2019;Sierra Leone;Africa;107.0;120.0;29335.51508;4
164;2019;South Sudan;Africa;113.0;124.0;28288.916679999995;4
15;2019;Somalia;Eastern Mediterranean;109.0;121.0;64245.68512;5
138;2019;Lesotho;Africa;115.0;128.0;12915.67442;5
150;2019;Central African Republic;Africa;109.0;120.0;22256.377160000004;5
175;2019;Chad;Africa;111.0;120.0;56508.06544;5
